   k     z(m)      Theta0(K)   U0(m/s)    V0(m/s)    q0(g/kg)
  1        0.34     283.10       5.00      10.00       0.00
  2        1.01     283.10       5.00      10.00       0.00
  3        1.69     283.10       5.00      10.00       0.00
  4        2.36     283.10       5.00      10.00       0.00
  5        3.04     283.15       5.00      10.00       0.00
  6        3.71     283.15       5.00      10.00       0.00
  7        4.39     283.15       5.00      10.00       0.00
  8        5.06     283.15       5.00      10.00       0.00
  9        5.74     283.15       5.00      10.00       0.00
 10        6.41     283.15       5.00      10.00       0.00
 11        7.21     283.15       5.00      10.00       0.00
 12        8.17     283.15       5.00      10.00       0.00
 13        9.18     283.15       5.00      10.00       0.00
 14       10.26     283.15       5.00      10.00       0.00
 15       11.41     283.15       5.00      10.00       0.00
 16       12.63     283.15       5.00      10.00       0.00
 17       13.92     283.15       5.00      10.00       0.00
 18       15.29     283.15       5.00      10.00       0.00
 19       16.75     283.15       5.00      10.00       0.00
 20       18.30     283.15       5.00      10.00       0.00
 21       19.94     283.15       5.00      10.00       0.00
 22       21.69     283.15       5.00      10.00       0.00
 23       23.55     283.15       5.00      10.00       0.00
 24       25.52     283.15       5.00      10.00       0.00
 25       27.62     283.15       5.00      10.00       0.00
 26       29.84     283.15       5.00      10.00       0.00
 27       32.21     283.15       5.00      10.00       0.00
 28       34.72     283.15       5.00      10.00       0.00
 29       37.39     283.15       5.00      10.00       0.00
 30       40.23     283.15       5.00      10.00       0.00
 31       43.24     283.15       5.00      10.00       0.00
 32       46.44     283.15       5.00      10.00       0.00
 33       49.84     283.15       5.00      10.00       0.00
 34       53.46     283.15       5.00      10.00       0.00
 35       57.29     283.15       5.00      10.00       0.00
 36       61.37     283.15       5.00      10.00       0.00
 37       65.71     283.15       5.00      10.00       0.00
 38       70.31     283.15       5.00      10.00       0.00
 39       75.20     283.15       5.00      10.00       0.00
 40       80.40     283.15       5.00      10.00       0.00
 41       85.93     283.15       5.00      10.00       0.00
 42       91.80     283.15       5.00      10.00       0.00
 43       98.04     283.15       5.00      10.00       0.00
 44      104.67     283.15       5.00      10.00       0.00
 45      111.72     283.15       5.00      10.00       0.00
 46      119.20     283.15       5.00      10.00       0.00
 47      127.16     283.15       5.00      10.00       0.00
 48      135.62     283.15       5.00      10.00       0.00
 49      144.62     283.15       5.00      10.00       0.00
 50      154.18     283.15       5.00      10.00       0.00
 51      164.34     283.15       5.00      10.00       0.00
 52      175.14     283.15       5.00      10.00       0.00
 53      186.63     283.15       5.00      10.00       0.00
 54      198.84     283.15       5.00      10.00       0.00
 55      211.82     283.15       5.00      10.00       0.00
 56      225.63     283.15       5.00      10.00       0.00
 57      240.31     283.15       5.00      10.00       0.00
 58      255.93     283.15       5.00      10.00       0.00
 59      272.54     283.15       5.00      10.00       0.00
 60      290.20     283.15       5.00      10.00       0.00
 61      309.00     283.15       5.00      10.00       0.00
 62      328.99     283.15       5.00      10.00       0.00
 63      350.27     283.15       5.00      10.00       0.00
 64      372.91     283.15       5.00      10.00       0.00
 65      397.01     283.15       5.00      10.00       0.00
 66      422.67     283.15       5.00      10.00       0.00
 67      449.97     283.15       5.00      10.00       0.00
 68      479.06     283.36       5.00      10.00       0.00
 69      510.14     284.91       5.00      10.00       0.00
 70      543.43     286.58       5.00      10.00       0.00
 71      579.10     288.36       5.00      10.00       0.00
 72      617.36     290.27       5.00      10.00       0.00
 73      658.30     290.75       5.00      10.00       0.00
 74      701.99     290.88       5.00      10.00       0.00
 75      748.59     291.02       5.00      10.00       0.00
 76      798.32     291.17       5.00      10.00       0.00
 77      851.40     291.33       5.00      10.00       0.00
 78      908.08     291.50       5.00      10.00       0.00
 79      968.62     291.68       5.00      10.00       0.00
